source_id,name,category,subcategories,store
985,iPhone 17 Pro Max 25,Smartphones,Mobiles & Accessories,ALUXX HUB
986,iPhone 17 Pro 256 GB,Smartphones,Mobiles & Accessories,ALUXX HUB
987,iPhone 17 256GB (Nan,Smartphones,Mobiles & Accessories,ALUXX HUB
988,iPhone 17 Pro 256 GB,Smartphones,Mobiles & Accessories,ALUXX HUB
989,iPhone 17 Pro Max 25,Smartphones,Mobiles & Accessories,ALUXX HUB
990,iPhone 17 Pro Max 51,Smartphones,Mobiles & Accessories,ALUXX HUB
991,Men's Round Sunglass,Men's Sunglasses,Men,ALUXX HUB
992,Tom Ford ANDREA-02 R,Men's Sunglasses,Men,ALUXX HUB
993,Tuscan Leather EDP 1,Eau de Parfum,Fragrance,ALUXX HUB
994,Electric Cherry EDP,Eau de Parfum,Fragrance,ALUXX HUB
995,Bitter Peach EDP 50m,Eau de Parfum,Fragrance,ALUXX HUB
996,Neroli Portofino Acq,Eau de Toilette,Fragrance,ALUXX HUB
997,Tuscan Leather EDP 1,Eau de Parfum,Fragrance,ALUXX HUB
998,TOM FORD Noir De Noi,Fragrance,Fragrance,ALUXX HUB
999,PlayStation 5 PRO Di,Consoles,Video Games,ALUXX HUB
1000,Men's Denim Sale,Denim,"Men, Clothing",ALUXX HUB
1001,"""H Cut Remix"" swim t",Beachwear,"Women, Men",ALUXX HUB
1002,"""Eperon d'Or Tattoo""",Beachwear,"Women, Men",ALUXX HUB
1003,"""Metal au Carre"" swi",Beachwear,"Women, Men",ALUXX HUB
1004,"""Calligraphie Equest",Beachwear,"Women, Men",ALUXX HUB
1005,"""H Cut Remix"" swim t",Beachwear,"Women, Men",ALUXX HUB
1006,"""H Cut Remix"" swim t",Beachwear,"Women, Men",ALUXX HUB
1007,"""Metal au Carre"" swi",Beachwear,"Women, Men",ALUXX HUB
1173,5-Piece Non-Piercing,Body Jewellery,Women,The Eclat Lux
1175,Minimalist geometric,Women's Necklaces,Women,The Eclat Lux
1177,3 Pcs Women's Jewelr,Women's Jewellery Sets,Women,The Eclat Lux
1180,New card holder wall,Men's Wallets,Men,The Eclat Lux
1181,Emblem Pebble Grain,"Women's Wallets, Card Cases & Money Organizers",Women,The Eclat Lux
1183,Laurel II Cardholder,Women's Wallets,Women,The Eclat Lux
1186,Giully II Small Zip,Women's Wallets,Women,The Eclat Lux
1187,Ashlyn Logo Detail C,"Women's Wallets, Card Cases & Money Organizers",Women,The Eclat Lux
1188,Croc Effect Small Zi,Women's Wallets,Women,The Eclat Lux
1290,Eros EDP For Women 1,Fragrance,Fragrance,The Eclat Lux
1291,Bright Crystal EDT 9,Fragrance,Fragrance,The Eclat Lux
1292,Pour Homme EDT 100ml,Fragrance,Fragrance,The Eclat Lux
1293,Crystal Noir EDT For,Fragrance,Fragrance,The Eclat Lux
1355,18K Gold Plated Stai,Men's Jewellery,Men,The Eclat Lux
1356,5 Piece Clutch Bag R,Women's Jewellery Sets,Women,The Eclat Lux
1359,His and Hers Engagem,Women's Rings,Women,The Eclat Lux
1360,Multi-functional Jew,Jewellery Organizers,Women,The Eclat Lux
1361,5 Pairs 304 Stainles,Women's Earrings Stud,Women,The Eclat Lux
1363,Stackable Jewelry Tr,Men's Jewellery,Men,The Eclat Lux
1364,Jewelry Box Organize,Jewellery Boxes,Women,The Eclat Lux
1365,Sliding necklace wom,Women's Necklaces,Women,The Eclat Lux
1366,Sterile Ear Piercing,Men's Earrings,Men,The Eclat Lux
1367,Adjustable Islamic A,Women's Rings,Women,The Eclat Lux
1368,Amber Resin Prayer B,Men's Prayer Beads,Men,The Eclat Lux
1369,Ionic Gold Plated St,Women's Earrings Stud,Women,The Eclat Lux
1370,Stackable Jewelry Tr,Men's Jewellery,Men,The Eclat Lux
1371,"Makeup Organizer, Co",Men's Jewellery,Men,The Eclat Lux
1372,Adjustable Islamic A,Women's Rings,Women,The Eclat Lux
1373,Natural Pearl Tasbih,Men's Prayer Beads,Men,The Eclat Lux
1374,5 Piece Clutch Bag R,Women's Jewellery Sets,Women,The Eclat Lux
1375,PALMONAS 18k Gold To,Anklets,Women,The Eclat Lux
1376,Fancy Black Fashiona,Hair Jewelry,Women,The Eclat Lux
1377,Jewelry Box Organize,Jewellery Boxes,Women,The Eclat Lux
1378,925 Sterling Silver,Women's Earrings Drop & Dangle,Women,The Eclat Lux
1381,Logo Accent Zip Arou,Women's Wallets,Women,The Eclat Lux
1382,Women 2Pcs Brand Log,Women's Wallets,Women,The Eclat Lux
1383,Professional Busines,"Women's Wallets, Card Cases & Money Organizers",Women,The Eclat Lux
1384,Flat Purse Chain Str,Handbag Accessories,Women,The Eclat Lux
1385,"Purse Chain Strap,Ha",Bags & Luggage,Bags & Luggage,The Eclat Lux
1386,New children's cute,Men's Wallets,Men,The Eclat Lux
1387,Women Brand Logo Thr,Women's Wallets,Women,The Eclat Lux
1389,Women Brand Logo Wal,Women's Wallets,Women,The Eclat Lux
1390,Stylish Women's RFID,Women's Coin Purses & Pouches,Women,The Eclat Lux
1391,"Multi,Purpose Canvas",Handbag Accessories,Women,The Eclat Lux
